"department","total_count","termination_count","termination_rate"
"Auditing","52","9","0.17"
"Legal","311","47","0.15"
"Training","1692","216","0.13"
"Sales","1832","220","0.12"
"Support","954","117","0.12"
"Engineering","6686","822","0.12"
"Research and Development","1084","133","0.12"
"Product Management","641","75","0.12"
"Human Resources","1807","223","0.12"
"Services","1686","199","0.12"
"Accounting","3333","396","0.12"
"Business Development","1642","179","0.11"
"Marketing","494","50","0.10"
